,Location Name,Latitude,Longitude
0,Evie Charging Station,-37.72642210000001,144.8082068
1,AmpCharge Charging Station,-37.69394399999999,144.7557507
2,Evie Charging Station,-37.676813,144.9222684
3,AmpCharge Charging Station,-37.80445,144.7524339
4,Evie Charging Station,-37.7366996,144.892805
5,Evie Charging Station,-37.72642210000001,144.8082068
6,Evie Charging Station,-37.676813,144.9222684
7,AmpCharge Charging Station,-37.80445,144.7524339
8,Tesla Supercharger,-37.838201,144.996017
9,Evie Charging Station,-37.77948889999999,145.0326375
10,Evie Charging Station,-37.7366996,144.892805
11,Exploren Charging Station,-37.8251201,144.7628328
12,Exploren Charging Station,-37.8143964,144.9463974
13,Evie Charging Station,-37.7726351,144.9152875
14,JET Charge,-37.8290241,144.9351501
15,Exploren Charging Station,-37.8357708,144.970022
16,Chargefox Charging Station,-37.8062739,144.9640762
17,Evie Charging Station,-37.86317680000001,145.0267439
18,Tesla Supercharger,-37.8453543,145.0423002
19,AmpCharge Charging Station,-37.8266164,145.0516181
20,Tesla Supercharger,-37.80941,144.99568
21,Tesla Supercharger,-37.907137,145.0111615
22,Evie Charging Station,-37.9103076,145.0860928
23,bp pulse Charging Station,-37.9004443,145.0071589
24,AmpCharge Charging Station,-37.9009451,145.143684
25,Tesla Supercharger,-37.8378239,145.1345691
26,Evie Charging Station,-38.0084554,145.0845776
27,Evie Charging Station,-38.0512342,145.256976
28,Evie Charging Station,-38.0884277,145.1825573
29,Evie Charging Station,-38.3083827,145.19194
30,AmpCharge Charging Station,-37.9078381,145.2361164
31,Chargefox Charging Station,-38.15320099999999,145.1340508
32,Chargefox Charging Station,-38.1398921,145.1244194
33,Evie Charging Station,-38.2242025,145.039691
34,Tesla Supercharger,-37.9862669,145.2175314
35,Chargefox Charging Station,-38.093351,145.341746
36,Exploren Charging Station,-37.8823202,145.1634739
37,Exploren Charging Station,-37.8784044,145.1626026
38,Tesla Destination Charger,-37.8145678,145.229415
39,Exploren Charging Station,-37.8748575,145.1277538
40,Chargefox Charging Station,-37.8753501,145.1644996
41,Evie Charging Station,-37.9063558,145.003572
42,EVUp Charging Station,-37.9212609,145.092624
43,EVUp Charging Station,-37.76973369999999,145.0118579
44,EVUp Charging Station,-37.7713464,144.9793524
45,Exploren Charging Station,-37.74978180000001,145.0431792
46,EV LINK Charging Station,-37.75539489999999,145.0404244
47,Chargefox Charging Station,-37.7190472,144.9621326
48,Exploren Charging Station,-37.7215466,144.9803303
49,Chargefox Charging Station,-37.6869621,144.8674163
50,Exploren Charging Station,-37.8304364,144.9010561
51,Chargefox Charging Station,-37.8965086,144.6711811
52,Chargefox Charging Station,-37.901957,144.662341
53,Chargefox Charging Station,-37.8768959,144.6273565
54,Chargefox Charging Station,-37.8747948,144.6131373
55,Chargefox Charging Station,-38.14316469999999,144.3577466
56,EVUp Charging Station,-38.1670491,144.339013
57,Chargefox Charging Station,-38.19669710000001,144.2992926
58,Chargefox Charging Station,-38.19747739999999,144.3440205
59,Chargefox Charging Station,-38.1976812,144.3202372
60,Evie Charging Station,-38.04805899999999,144.1700036
61,Chargefox Charging Station,-38.3070309,144.3216554
62,Evie Charging Station,-38.3312371,144.3249832
63,EVUp Charging Station,-38.2777861,144.2524204
64,EVUp Charging Station,-38.2569059,144.2736096
65,Chargefox Charging Station,-38.18944,144.555
66,Chargefox Charging Station,-37.8443581,145.111212
67,Chargefox Charging Station,-37.8191017,145.1220999
68,Tesla Destination Charger,-37.6532174,145.0160005
69,Electric Vehicle Charging Station,-37.6377179,145.0092092
70,AmpCharge Charging Station,-37.6595682,145.0735554
71,Chargefox Charging Station,-37.6815643,145.0629935
72,Chargefox Charging Station,-37.5729311,144.8981234
73,bp pulse Charging Station,-37.5344243,144.8982023
74,EVUp Charging Station,-37.8162143,144.9687956
75,Chargefox Charging Station,-37.77268349999999,144.9577647
76,EVUp Charging Station,-37.7774995,145.0014685
77,EVERTY Charging Station,-37.7722232,144.9786557
78,Exploren Charging Station,-37.8046035,144.9474587
